AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
80,8916,20120101,20500101,,"(53.19967158, 5.790349258)"
80,8994,20120101,20500101,,"(53.202845068, 5.792442544)"
80,8939,20120101,20500101,,"(53.204265048, 5.795511379)"
80,8957,20120101,20500101,,"(53.19942852, 5.788133103)"
80,8910,20120101,20500101,,"(53.19812473, 5.794170458)"
80,8969,20120101,20500101,,"(53.194496774, 5.799915346)"
80,8966,20120101,20500101,,"(53.200084953, 5.798630108)"
80,8936,20120101,20500101,,"(53.204644397, 5.8006523)"
80,8930,20120101,20500101,,"(53.202801627, 5.797184294)"
80,8958,20120101,20500101,,"(53.198983867, 5.788015215)"
80,8963,20120101,20500101,,"(53.199259726, 5.785639319)"
80,8927,20120101,20500101,,"(53.202988844, 5.799301497)"
80,8993,20160211,20500101,,"(53.198078265, 5.775853073)"
80,8959,20120101,20500101,,"(53.198555753, 5.787834846)"
80,8929,20120101,20500101,,"(53.202955938, 5.797891052)"
80,8941,20120101,20500101,,"(53.207442026, 5.795838165)"
80,8991,20120101,20500101,,"(53.199416555, 5.798888608)"
80,9751,20160211,20500101,,"(53.198274772, 5.773575237)"
80,8997,20120101,20500101,,"(53.205073925, 5.801085223)"
80,8952,20120101,20500101,,"(53.202434931, 5.787479682)"
80,8943,20120101,20500101,,"(53.203454507, 5.792652709)"
80,8986,20120101,20500101,,"(53.201174936, 5.789578)"
80,8931,20120101,20500101,,"(53.202598853, 5.790560463)"
80,8981,20120101,20500101,,"(53.202698564, 5.806770629)"
80,8956,20120101,20500101,,"(53.199936865, 5.788193562)"
80,8902,20120101,20500101,,"(53.198636035, 5.792895934)"
80,8980,20120101,20500101,,"(53.20259056, 5.805750698)"
80,8972,20160211,20500101,,"(53.197635495, 5.781220401)"
80,8974,20120101,20500101,,"(53.195602945, 5.798477402)"
80,8949,20120101,20500101,,"(53.205306481, 5.796663712)"
80,8955,20120101,20500101,,"(53.200747414, 5.788077366)"
80,8924,20120101,20500101,,"(53.202385252, 5.802842199)"
80,8917,20160211,20500101,,"(53.19737406, 5.786061134)"
80,8945,20120101,20500101,,"(53.203859374, 5.802085755)"
80,8968,20120101,20500101,,"(53.194818736, 5.799754872)"
80,8909,20120101,20500101,,"(53.198187685, 5.792976429)"
80,8937,20120101,20500101,,"(53.204747979, 5.79945288)"
80,8960,20120101,20500101,,"(53.199633463, 5.784391964)"
80,8913,20120101,20500101,,"(53.198374618, 5.78934975)"
80,8918,20120101,20500101,,"(53.198743162, 5.791296966)"
80,8923,20120101,20500101,,"(53.203316396, 5.803091933)"
80,8932,20120101,20500101,,"(53.20382484, 5.792985223)"
80,8950,20160211,20500101,,"(53.197938514, 5.787323167)"
80,8938,20120101,20500101,,"(53.204825079, 5.798463001)"
80,8948,20120101,20500101,,"(53.199208193, 5.801324947)"
80,8928,20120101,20500101,,"(53.203019605, 5.798551379)"
80,8971,20120101,20500101,,"(53.196729737, 5.797418415)"
80,8933,20120101,20500101,,"(53.204367597, 5.794746389)"
473,236131,20120101,,,"(52.378572755, 4.530698053)"
